"title","rental_rate"
"Ali Forever","4.99"
"Apache Divine","4.99"
"Lady Stage","4.99"
"Lambs Cincinatti","4.99"
"Lawless Vision","4.99"
"League Hellfighters","4.99"
"Dogma Family","4.99"
"Candles Grapes","4.99"
"Legally Secretary","4.99"
"Liaisons Sweet","4.99"
"Doors President","4.99"
"Dorado Notting","4.99"
"Lies Treatment","4.99"
"Doubtfire Labyrinth","4.99"
"Dozen Lion","4.99"
"Lola Agent","4.99"
"Dragonfly Strangers","4.99"
"Caribbean Liberty","4.99"
"Drifter Commandments","4.99"
"Loser Hustler","4.99"
"Apocalypse Flamingos","4.99"
"Driving Polish","4.99"
"Drop Waterfront","4.99"
"Casablanca Super","4.99"
"Dude Blindness","4.99"
"Durham Panky","4.99"
"Casper Dragonfly","4.99"
"Eagles Panky","4.99"
"Madigan Dorado","4.99"
"Early Home","4.99"
"Easy Gladiator","4.99"
"Edge Kissing","4.99"
"Airport Pollock","4.99"
"Maiden Home","4.99"
"Element Freddy","4.99"
"Maltese Hope","4.99"
"Elephant Trojan","4.99"
"Elf Murder","4.99"
"Elizabeth Shane","4.99"
"Massacre Usual","4.99"
"Enemy Odds","4.99"
"Matrix Snowman","4.99"
"Cat Coneheads","4.99"
"Memento Zoolander","4.99"
"Bright Encounters","4.99"
"Mermaid Insects","4.99"
"Eve Resurrection","4.99"
"Center Dinosaur","4.99"
"Expecations Natural","4.99"
"Midsummer Groundhog","4.99"
"Champion Flatliners","4.99"
"Million Ace","4.99"
"Minds Truman","4.99"
"Mine Titans","4.99"
"Beast Hunchback","4.99"
"Mission Zoolander","4.99"
"Beauty Grease","4.99"
"Mod Secretary","4.99"
"Model Fish","4.99"
"Falcon Volume","4.99"
"Monsoon Cause","4.99"
"Amelie Hellfighters","4.99"
"Moonshine Cabin","4.99"
"Moonwalker Fool","4.99"
"Movie Shakespeare","4.99"
"Behavior Runaway","4.99"
"Muppet Mile","4.99"
"American Circus","4.99"
"Fellowship Autumn","4.99"
"Musketeers Wait","4.99"
"Chasing Fight","4.99"
"Name Detective","4.99"
"Fever Empire","4.99"
"Fiddler Lost","4.99"
"Fidelity Devil","4.99"
"Chamber Italian","4.99"
"Nightmare Chill","4.99"
"Fire Wolves","4.99"
"North Tequila","4.99"
"Chicago North","4.99"
"Nuts Ties","4.99"
"October Submarine","4.99"
"Open African","4.99"
"Flamingos Connecticut","4.99"
"Opposite Necklace","4.99"
"Opus Ice","4.99"
"Flash Wars","4.99"
"Chinatown Gladiator","4.99"
"Flight Lies","4.99"
"Flintstones Happiness","4.99"
"Outlaw Hanky","4.99"
"Chisum Behavior","4.99"
"Panic Club","4.99"
"Panky Submarine","4.99"
"Panther Reds","4.99"
"Betrayed Rear","4.99"
"Fool Mockingbird","4.99"
"Park Citizen","4.99"
"Dying Maker","4.99"
"Past Suicides","4.99"
